Sport,"Softgoods (i.e. Jackets, wetsuits, boots)",Softgoods Price,Overall Softgood Price,,gear,Gear Price,Overall Gear Price,Overall Sport Price
,,,,,,,,
Skiing,,,,,,,,
Skiing,Winter Jacket (The North Face),$170,,,Skis (Rossingol),$750,,
Skiing,Winter Snow Pants (Armada),$179,,,Boots (Rossingol),$350,,
Skiing,Layers (Hot Chilli's),$50,,,Goggles (Spy),$60,,
Skiing,Gloves (Columbia),$35,,,Helmet (Giro),$40,,
Skiing,,,$434,,Day Pass at Killington,$96,,
Skiing,,,,,,,"$1,296","1,720$"
Skiing,,,,,,,,
Skateboarding,,,,,,,,
Skateboarding,Helmets (Skate Warehouse/ Socal Skateshop),$30,,,Skateboards (Socal Skateshop/EVO),$50,,
Skateboarding,Elbow Pads (Skate Warehouse),$15,,,Trucks (EVO),$22,,
Skateboarding,Knee Pads (Skate  Warehouse),$22,,,Wheels(Socal Skateshop/EVO),$30,,
Skateboarding,,,,,Hardware (Socal Skateshop),$5,,
Skateboarding,,,,,Bearings (Socal Skateshop/EVO),$17,,
Skateboarding,,,,,Bushsings (CCS),$5,,
Skateboarding,,,,,Risers (Skate Warehouse),$2,,
Skateboarding,,,$67,,,,$131,$198
Mountain Biking,,,,,,,,
Mountain Biking,Helmet (Scott),$75,,,Entry Level Mountain Bike (Specialized),$700,,
Mountain Biking,Knee Pads (Race Face),$45,,,,,,
Mountain Biking,Protective Gloves (Fox),$20,,,,,,
Mountain Biking,,,$140,,,,$700,$840
Snowboarding,,,,,,,,
Snowboarding,Winter Jacket (Burton),$239,,,Snowboard (Burton),$380,,
Snowboarding,Winter Snow Pants (Burton),$110,,,Bindings (Burton),$209,,
Snowboarding,Layers (Hot Chili's),$50,,,Boots (Burton),$179,,
Snowboarding,Gloves (Columbia),$35,,,Goggles (Spy) ,$60,,
Snowboarding,,,$434,,Helemet (Anon),$70,,
Snowboarding,,,,,Day Pass at Killington,$96,,
Snowboarding,,,,,,,$994,"1,428$"
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Snowboarding,,,,,,,,
Stand-Up-Paddleboarding,,,,,,,,
Stand-Up-Paddleboarding,Personal Flotation Device (NRS / Northwest River Supplies),$100,,,SUP-Board (Isle),$695,,
Stand-Up-Paddleboarding,Wetsuit (Ripcurl),$100,,,Paddle (Isle),$95,,
Stand-Up-Paddleboarding,,,,,Ankle Leash (Isle),$20,,
Stand-Up-Paddleboarding,,,$200,,,,$810,"1,010$"
Hiking,,,,,,,,
Hiking,Hiking Boots (Hi-Tec),$50,,,Backpack (Osprey),$50,,
,,,50$,,,,50$,100$
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,$464,$614
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
